Odor Set,Dragon No.,Name,Description,Block
Tiled,1317,SpMax_AEA(dm),leading eigenvalue from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Tiled,1576,Eig01_AEA(dm),eigenvalue n. 1 from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Tiled,1614,PJI3,3D Petitjean shape index,Geometrical descriptors
Tiled,2201,Mor09i,signal 09 / weighted by ionization potential,3D-MoRSE descriptors
Tiled,2208,Mor16i,signal 16 / weighted by ionization potential,3D-MoRSE descriptors
Tiled,2226,Mor02s,signal 02 / weighted by I-state,3D-MoRSE descriptors
Tiled,2227,Mor03s,signal 03 / weighted by I-state,3D-MoRSE descriptors
Tiled,2265,E1u,1st component accessibility directional WHIM index / unweighted,WHIM descriptors
Tiled,2274,G2m,2nd component symmetry directional WHIM index / weighted by mass,WHIM descriptors
Tiled,2320,E1i,1st component accessibility directional WHIM index / weighted by ionization potential,WHIM descriptors
Tiled,2326,P1s,1st component shape directional WHIM index / weighted by I-state,WHIM descriptors
Tiled,2589,RTe+,R maximal index / weighted by Sanderson electronegativity,GETAWAY descriptors
Tiled,2636,R2s+,R maximal autocorrelation of lag 2 / weighted by I-state,GETAWAY descriptors
Boutons,272,SIC2,Structural Information Content index (neighborhood symmetry of 2-order),Information indices
Boutons,368,AVS_X,average vertex sum from chi matrix,2D matrix-based descriptors
Boutons,371,ChiA_X,average Randic-like index from chi matrix,2D matrix-based descriptors
Boutons,633,Chi_Dz(p),Randic-like index from Barysz matrix weighted by polarizability,2D matrix-based descriptors
Boutons,635,J_Dz(p),Balaban-like index from Barysz matrix weighted by polarizability,2D matrix-based descriptors
Boutons,1149,SpMax2_Bh(s),largest eigenvalue n. 2 of Burden matrix weighted by I-state,Burden eigenvalues
Boutons,1317,SpMax_AEA(dm),leading eigenvalue from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Boutons,1576,Eig01_AEA(dm),eigenvalue n. 1 from augmented edge adjacency mat. weighted by dipole moment,Edge adjacency indices
Boutons,1614,PJI3,3D Petitjean shape index,Geometrical descriptors
Boutons,2137,Mor09e,signal 09 / weighted by Sanderson electronegativity,3D-MoRSE descriptors
Boutons,2201,Mor09i,signal 09 / weighted by ionization potential,3D-MoRSE descriptors
Boutons,2208,Mor16i,signal 16 / weighted by ionization potential,3D-MoRSE descriptors
Boutons,2265,E1u,1st component accessibility directional WHIM index / unweighted,WHIM descriptors
Boutons,2274,G2m,2nd component symmetry directional WHIM index / weighted by mass,WHIM descriptors
Boutons,2320,E1i,1st component accessibility directional WHIM index / weighted by ionization potential,WHIM descriptors
Boutons,2329,G2s,2nd component symmetry directional WHIM index / weighted by I-state,WHIM descriptors
Boutons,2330,G3s,3rd component symmetry directional WHIM index / weighted by I-state,WHIM descriptors
Boutons,2589,RTe+,R maximal index / weighted by Sanderson electronegativity,GETAWAY descriptors
Boutons,4948,DLS_04,modified drug-like score from Chen et al. (7 rules),Drug-like indices
Boutons,4953,LLS_01,modified lead-like score from Congreve et al. (6 rules),Drug-like indices
